Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the state of the NA server?,What do you think about the NA pace compared to others servers?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Do you think Aniplex and DW care about the F2P NA player and fanbase?,Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you used more SQ than expected for one servant?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)"
16/02/2019 18:09:39,F2P,Artoria Pendragon,Ishtar,"Scathach, Karna, Tamamo no Mae [Lancer]",Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin","Shuten Douji, King Hassan",,,Edmond Dantes,Yes,More than 15 months,14,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",None,Maybe,Edmond Dantès ,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:10:59,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Ryougi Shiki, Miyamoto Musashi",Arjuna,"Scathach, Karna",,Zhuge Liang [El-Melloi II],Jack the Ripper,"Cu Chulainn [Alter], Mysterious Heroine X (Alter)",,,Yes,Between 12 and 15 months,13,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",Both,Okita Souji,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:11:03,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Nero Claudius [Bride]","Nikola Tesla, Arjuna",,,"Leonardo Da Vinci, Merlin",Jack the Ripper,"Vlad III, Florence Nightingale, Mysterious Heroine X (Alter)",,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,13,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",Auto-Play,Mysterious Heroine X (Alter),Astolfo,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:11:10,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera","Nikola Tesla, Ishtar","Karna, Artoria Pendragon [Lancer]","Francis Drake, Queen Medb, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Leonardo Da Vinci, Merlin","Jack the Ripper, Shuten Douji, Cleopatra","Sakata Kintoki, Vlad III, Florence Nightingale, Minamoto no Raikō",,"Jeanne D'arc [Alter], Edmond Dantes",Yes,Between 12 and 15 months,31,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Arturia Pendragon (Saber),Boudica,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:11:11,F2P,,Orion,,,"Tamamo-no-mae, Merlin",King Hassan,Vlad III,Jeanne D'arc,,No,Between 12 and 15 months,6,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Slow, the content should be released faster to catch up CN/JP",NP Skip,Maybe,Arash,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:11:15,F2P,,,,,,King Hassan,,,,No,Between 6 and 12 months,1,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",NP Skip,Maybe,Asterios,Amakusa,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:11:43,F2P,,,,Queen Medb,,King Hassan,Florence Nightingale,,,No,Between 3 and 6 months,3,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",Auto-Play,Yes,Caster Gilgamesh,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:12:11,F2P,Miyamoto Musashi,,,,"Xuanzang, Merlin",,,,,No,Between 3 and 6 months,3,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",Both,Maybe,Ereshkigal,Tristan,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:12:14,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Mordred","Orion, Artoria Pendragon [Archer]",Tamamo no Mae [Lancer],Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",,,Jeanne D'arc,,Yes,More than 15 months,14,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Bedivere,,Female,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:12:15,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred",Orion,Enkidu,"Francis Drake, Quetzalcoatl",Zhuge Liang [El-Melloi II],"Jack the Ripper, Shuten Douji, Cleopatra","Sakata Kintoki, Vlad III",Amakusa Shirou,,Yes,More than 15 months,17,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",None,angra,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:12:22,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Nero Claudius [Bride], Ryougi Shiki","Nikola Tesla, Arjuna, Artoria Pendragon [Archer]","Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]","Queen Medb, Iskandar","Tamamo-no-mae, Illyasviel von Einzbern","Jack the Ripper, Shuten Douji",Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,29,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",Auto-Play,Nero Claudius (Bride),Christopher Columbus,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:12:26,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji",,,Queen Medb,"Zhuge Liang [El-Melloi II], Merlin",,"Vlad III, Florence Nightingale",,Edmond Dantes,No,More than 15 months,15,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",Both,Emiya Assassin,None,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:12:29,F2P,,,,,Tamamo-no-mae,,,,"Jeanne D'arc [Alter], Edmond Dantes",Yes,Between 6 and 12 months,3,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",None,Maybe,hozoin,merlin,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:12:36,F2P,,,,,,,,,,No,Between 1 and 3 months,0,No,"Bad, DW and Aniplex should do a better management of the NA server","Slow, the content should be released faster to catch up CN/JP",Both,No,Edmond Dantes,Mash Kyrielight,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:12:44,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred, Miyamoto Musashi",,Tamamo no Mae [Lancer],,"Zhuge Liang [El-Melloi II], Merlin",,,Jeanne D'arc,,No,More than 15 months,9,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Meltlilith,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:12:45,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred","Orion, Nikola Tesla, Arjuna",,"Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae","MHX, Cleopatra",Cu Chulainn [Alter],Amakusa Shirou,,No,Between 12 and 15 months,15,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Cu Alter,Astolfo,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:12:58,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,"Gilgamesh, Arjuna, Artoria Pendragon [Archer]",Tamamo no Mae [Lancer],Francis Drake,"Zhuge Liang [El-Melloi II], Merlin",,Vlad III,,Jeanne D'arc [Alter],No,More than 15 months,12,Yes,"Slow, the content should be released faster to catch up CN/JP","Not good not bad, DW and Aniplex could do better management of the NA server",Auto-Play,Jeanne D'arc [Alter],,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:13:04,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred",Orion,"Karna, Artoria Pendragon [Lancer]","Queen Medb, Iskandar, Ozymandias","Xuanzang, Merlin",,"Vlad III, Cu Chulainn [Alter]",,Edmond Dantes,Yes,More than 15 months,20,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Edmond Dantes,Chloe von Einzbern,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 18:13:24,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred",,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern, Merlin",,"Cu Chulainn [Alter], Minamoto no Raikō",,Jeanne D'arc [Alter],Yes,More than 15 months,12,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Mashu,Mephistopheles,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
